MESS_DATUM,T_aussen_C,Heizlast_kW
2019050920,10.2,536.0592650000001
2019050921,10.7,508.70930250000004
2019050922,10.5,519.6492875
2019050923,10.7,508.70930250000004
2019051000,10.0,546.99925
2019051001,9.7,563.4092275
2019051002,9.7,563.4092275
2019051003,9.5,574.3492125
2019051004,9.1,573.9891825
2019051005,9.0,535.0591750000001
2019051006,9.9,174.70924249999993
2019051007,10.2,0.0
2019051008,10.3,0.0
2019051009,10.5,0.0
2019051010,11.0,0.0
2019051011,11.9,0.0
2019051012,12.3,0.0
2019051013,13.5,0.0
2019051014,14.9,0.0
2019051015,14.5,0.0
2019051016,15.0,0.0
2019051017,14.4,0.0
2019051018,12.7,0.0
2019051019,11.0,403.419325
2019051020,10.4,525.11928
2019051021,9.9,552.4692425
2019051022,9.6,568.8792199999999
2019051023,9.0,601.6991750000001
2019051100,8.8,612.6391600000001
2019051101,8.6,623.579145
2019051102,8.5,629.0491374999999
2019051103,8.5,629.0491374999999
2019051104,8.4,612.27913
2019051105,8.5,495.68913749999996
2019051106,8.8,145.99916000000005
2019051107,9.2,0.0
2019051108,9.2,0.0
2019051109,9.5,0.0
2019051110,10.1,0.0
2019051111,10.8,0.0
2019051112,11.2,0.0
2019051113,12.5,0.0
2019051114,13.1,0.0
2019051115,13.4,0.0
2019051116,14.1,0.0
2019051117,13.1,0.0
2019051118,12.4,0.0
2019051119,11.2,347.9993400000001
2019051120,9.8,557.9392349999999
2019051121,7.1,705.6290325
2019051122,6.9,716.5690175
2019051123,5.7,782.2089275
2019051200,5.2,809.55889
2019051201,4.4,853.3188299999999
2019051202,3.5,902.5487625
2019051203,2.2,973.658665
2019051204,1.8,906.658635
2019051205,3.0,507.658725
2019051206,5.4,0.0
2019051207,6.7,0.0
2019051208,8.7,0.0
2019051209,9.7,0.0
2019051210,11.0,0.0
2019051211,11.5,0.0
2019051212,12.4,0.0
2019051213,12.7,0.0
2019051214,13.0,0.0
2019051215,13.1,0.0
2019051216,13.0,0.0
2019051217,13.2,0.0
2019051218,12.4,0.0
2019051219,11.6,370.59937
2019051220,8.7,618.1091524999999
2019051221,7.7,672.8090775000001
2019051222,6.5,738.4489875
2019051223,7.4,689.2190549999999
2019051300,6.0,765.79895
2019051301,3.7,891.6087775
2019051302,2.0,984.59865
2019051303,2.1,979.1286574999998
2019051304,1.2,872.83859
2019051305,2.7,0.0
2019051306,5.9,0.0
2019051307,7.2,0.0
2019051308,8.9,0.0
2019051309,11.6,0.0
2019051310,13.8,0.0
2019051311,14.0,0.0
2019051312,15.0,0.0
2019051313,15.3,0.0
2019051314,15.8,0.0
2019051315,16.0,0.0
2019051316,16.2,0.0
2019051317,15.6,0.0
2019051318,15.0,0.0
2019051319,13.3,255.36949749999994
2019051320,9.1,596.2291825
2019051321,8.5,629.0491374999999
2019051322,8.4,634.51913
2019051323,7.6,678.27907
2019051400,8.5,629.0491374999999
2019051401,7.4,689.2190549999999
2019051402,7.0,711.099025
2019051403,5.5,793.1489124999999
2019051404,3.6,763.71877
2019051405,4.4,0.0
2019051406,6.1,0.0
2019051407,8.3,0.0
2019051408,10.0,0.0
2019051409,12.1,0.0
2019051410,13.1,0.0
2019051411,15.0,0.0
2019051412,14.6,0.0
2019051413,15.7,0.0
2019051414,14.9,0.0
2019051415,16.3,0.0
2019051416,16.5,0.0
2019051417,15.7,0.0
2019051418,14.2,0.0
2019051419,13.3,210.96949749999993
2019051420,11.0,492.299325
2019051421,8.1,650.9291075
2019051422,6.8,722.03901
2019051423,5.8,776.7389350000001
2019051500,5.3,804.0888974999999
2019051501,5.9,771.2689425
2019051502,5.6,787.6789200000001
2019051503,1.5,1011.9486125000001
2019051504,1.9,834.5486425
